"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SCL,"7/8/2024 3 p.m. PDT",1373,1255,717,-656
SCL,"7/8/2024 4 p.m. PDT",1391,1275,1007,-384
SCL,"7/8/2024 5 p.m. PDT",1408,1295,928,-480
SCL,"7/8/2024 6 p.m. PDT",1433,1298,971,-462
SCL,"7/8/2024 7 p.m. PDT",1418,1260,1046,-372
SCL,"7/8/2024 8 p.m. PDT",1398,1224,1122,-276
SCL,"7/8/2024 9 p.m. PDT",1353,1187,990,-363
SCL,"7/8/2024 10 p.m. PDT",1306,1160,979,-327
SCL,"7/8/2024 11 p.m. PDT",1233,1097,611,-622
SCL,"7/9/2024 12 a.m. PDT",1122,1019,612,-510
SCL,"7/9/2024 1 a.m. PDT",1037,1016,246,-791
SCL,"7/9/2024 2 a.m. PDT",977,936,253,-724
SCL,"7/9/2024 3 a.m. PDT",939,897,184,-755
SCL,"7/9/2024 4 a.m. PDT",915,878,155,-760
SCL,"7/9/2024 5 a.m. PDT",926,883,156,-770
SCL,"7/9/2024 6 a.m. PDT",959,910,255,-704
SCL,"7/9/2024 7 a.m. PDT",1051,989,668,-383
SCL,"7/9/2024 8 a.m. PDT",1131,1074,756,-375
SCL,"7/9/2024 9 a.m. PDT",1204,1131,745,-459
SCL,"7/9/2024 10 a.m. PDT",1243,1176,699,-544
SCL,"7/9/2024 11 a.m. PDT",1258,1212,698,-560
SCL,"7/9/2024 12 p.m. PDT",1268,1249,645,-623
SCL,"7/9/2024 1 p.m. PDT",1296,1284,654,-642
SCL,"7/9/2024 2 p.m. PDT",1338,1312,678,-660
SCL,"7/9/2024 3 p.m. PDT",1364,1333,694,-670
SCL,"7/9/2024 4 p.m. PDT",1384,1351,732,-652
SCL,"7/9/2024 5 p.m. PDT",1402,1371,725,-677
SCL,"7/9/2024 6 p.m. PDT",1391,1377,875,-516
SCL,"7/9/2024 7 p.m. PDT",1367,1338,948,-419
SCL,"7/9/2024 8 p.m. PDT",1346,1294,958,-388
SCL,"7/9/2024 9 p.m. PDT",1312,1248,808,-504
SCL,"7/9/2024 10 p.m. PDT",1265,1222,759,-506
SCL,"7/9/2024 11 p.m. PDT",1188,1158,551,-637
SCL,"7/10/2024 12 a.m. PDT",1082,1069,402,-680
SCL,"7/10/2024 1 a.m. PDT",989,1008,230,-759
SCL,"7/10/2024 2 a.m. PDT",927,942,94,-833
SCL,"7/10/2024 3 a.m. PDT",887,901,145,-742
