BA Code,Timestamp (Hour Ending),Demand (MWh)
SCL,1/14/2024 10 a.m. PST,1792.0
SCL,1/14/2024 11 a.m. PST,1782.0
SCL,1/14/2024 12 p.m. PST,1759.0
SCL,1/14/2024 1 p.m. PST,1732.0
SCL,1/14/2024 2 p.m. PST,1713.0
SCL,1/14/2024 3 p.m. PST,1684.0
SCL,1/14/2024 4 p.m. PST,1650.0
SCL,1/14/2024 5 p.m. PST,1725.0
SCL,1/14/2024 6 p.m. PST,1829.0
SCL,1/14/2024 7 p.m. PST,1793.0
SCL,1/14/2024 8 p.m. PST,1812.0
SCL,1/14/2024 9 p.m. PST,1780.0
SCL,1/14/2024 10 p.m. PST,1717.0
SCL,1/14/2024 11 p.m. PST,1654.0
SCL,1/15/2024 12 a.m. PST,1543.0
SCL,1/15/2024 1 a.m. PST,1505.0
SCL,1/15/2024 2 a.m. PST,1456.0
SCL,1/15/2024 3 a.m. PST,1481.0
SCL,1/15/2024 4 a.m. PST,1495.0
SCL,1/15/2024 5 a.m. PST,1519.0
SCL,1/15/2024 6 a.m. PST,1605.0
SCL,1/15/2024 7 a.m. PST,1688.0
SCL,1/15/2024 8 a.m. PST,1776.0
SCL,1/15/2024 9 a.m. PST,1825.0
SCL,1/15/2024 10 a.m. PST,1833.0
SCL,1/15/2024 11 a.m. PST,1813.0
SCL,1/15/2024 12 p.m. PST,1767.0
SCL,1/15/2024 1 p.m. PST,1721.0
SCL,1/15/2024 2 p.m. PST,1687.0
SCL,1/15/2024 3 p.m. PST,1700.0
SCL,1/15/2024 4 p.m. PST,1713.0
SCL,1/15/2024 5 p.m. PST,1747.0
SCL,1/15/2024 6 p.m. PST,1843.0
SCL,1/15/2024 7 p.m. PST,1826.0
SCL,1/15/2024 8 p.m. PST,1793.0
SCL,1/15/2024 9 p.m. PST,1752.0
SCL,1/15/2024 10 p.m. PST,1683.0
SCL,1/15/2024 11 p.m. PST,1580.0
SCL,1/16/2024 12 a.m. PST,1484.0
SCL,1/16/2024 1 a.m. PST,1431.0
SCL,1/16/2024 2 a.m. PST,1406.0
SCL,1/16/2024 3 a.m. PST,1402.0
SCL,1/16/2024 4 a.m. PST,1418.0
SCL,1/16/2024 5 a.m. PST,1458.0
SCL,1/16/2024 6 a.m. PST,1568.0
SCL,1/16/2024 7 a.m. PST,1700.0
SCL,1/16/2024 8 a.m. PST,1812.0
SCL,1/16/2024 9 a.m. PST,1848.0
SCL,1/16/2024 10 a.m. PST,1844.0
SCL,1/16/2024 11 a.m. PST,1820.0
SCL,1/16/2024 12 p.m. PST,1742.0
SCL,1/16/2024 1 p.m. PST,1684.0
SCL,1/16/2024 2 p.m. PST,1680.0
SCL,1/16/2024 3 p.m. PST,1658.0
SCL,1/16/2024 4 p.m. PST,1691.0
SCL,1/16/2024 5 p.m. PST,1738.0
SCL,1/16/2024 6 p.m. PST,1795.0
SCL,1/16/2024 7 p.m. PST,1770.0
SCL,1/16/2024 8 p.m. PST,1725.0
SCL,1/16/2024 9 p.m. PST,1667.0
SCL,1/16/2024 10 p.m. PST,1603.0
SCL,1/16/2024 11 p.m. PST,1504.0
SCL,1/17/2024 12 a.m. PST,1409.0
SCL,1/17/2024 1 a.m. PST,1344.0
SCL,1/17/2024 2 a.m. PST,1308.0
SCL,1/17/2024 3 a.m. PST,1298.0
SCL,1/17/2024 4 a.m. PST,1304.0
SCL,1/17/2024 5 a.m. PST,1340.0
SCL,1/17/2024 6 a.m. PST,1434.0
SCL,1/17/2024 7 a.m. PST,1534.0
SCL,1/17/2024 8 a.m. PST,1641.0
SCL,1/17/2024 9 a.m. PST,1677.0
SCL,1/17/2024 10 a.m. PST,1683.0
SCL,1/17/2024 11 a.m. PST,1678.0
SCL,1/17/2024 12 p.m. PST,1680.0
SCL,1/17/2024 1 p.m. PST,1685.0
SCL,1/17/2024 2 p.m. PST,1659.0
SCL,1/17/2024 3 p.m. PST,1642.0
SCL,1/17/2024 4 p.m. PST,1636.0
SCL,1/17/2024 5 p.m. PST,1666.0
SCL,1/17/2024 6 p.m. PST,1706.0
SCL,1/17/2024 7 p.m. PST,1673.0
SCL,1/17/2024 8 p.m. PST,1621.0
SCL,1/17/2024 9 p.m. PST,1565.0
SCL,1/17/2024 10 p.m. PST,1481.0
SCL,1/17/2024 11 p.m. PST,1384.0
SCL,1/18/2024 12 a.m. PST,1285.0
SCL,1/18/2024 1 a.m. PST,1219.0
SCL,1/18/2024 2 a.m. PST,1180.0
SCL,1/18/2024 3 a.m. PST,1169.0
SCL,1/18/2024 4 a.m. PST,1184.0
SCL,1/18/2024 5 a.m. PST,1218.0
SCL,1/18/2024 6 a.m. PST,1313.0
SCL,1/18/2024 7 a.m. PST,1452.0
SCL,1/18/2024 8 a.m. PST,1573.0
SCL,1/18/2024 9 a.m. PST,1612.0
SCL,1/18/2024 10 a.m. PST,1614.0
SCL,1/18/2024 11 a.m. PST,1623.0
