"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SCL,"3/15/2025 8 p.m. PDT",1324,1266,586,-738
SCL,"3/15/2025 9 p.m. PDT",1308,1259,593,-715
SCL,"3/15/2025 10 p.m. PDT",1262,1216,435,-827
SCL,"3/15/2025 11 p.m. PDT",1213,1160,444,-769
SCL,"3/16/2025 12 a.m. PDT",1141,1089,445,-696
SCL,"3/16/2025 1 a.m. PDT",1081,1060,256,-825
SCL,"3/16/2025 2 a.m. PDT",1027,1019,252,-775
SCL,"3/16/2025 3 a.m. PDT",1010,1000,251,-759
SCL,"3/16/2025 4 a.m. PDT",1013,992,263,-750
SCL,"3/16/2025 5 a.m. PDT",1007,993,250,-757
SCL,"3/16/2025 6 a.m. PDT",1050,1013,251,-799
SCL,"3/16/2025 7 a.m. PDT",1080,1059,442,-638
SCL,"3/16/2025 8 a.m. PDT",1163,1110,449,-714
SCL,"3/16/2025 9 a.m. PDT",1215,1157,461,-754
SCL,"3/16/2025 10 a.m. PDT",1277,1197,367,-910
SCL,"3/16/2025 11 a.m. PDT",1302,1215,191,-1111
SCL,"3/16/2025 12 p.m. PDT",1299,1206,170,-1129
SCL,"3/16/2025 1 p.m. PDT",1288,1198,164,-1124
SCL,"3/16/2025 2 p.m. PDT",1237,1177,151,-1086
SCL,"3/16/2025 3 p.m. PDT",1177,1162,149,-1028
SCL,"3/16/2025 4 p.m. PDT",1151,1154,155,-996
SCL,"3/16/2025 5 p.m. PDT",1160,1170,309,-851
SCL,"3/16/2025 6 p.m. PDT",1214,1202,511,-703
SCL,"3/16/2025 7 p.m. PDT",1255,1230,691,-564
SCL,"3/16/2025 8 p.m. PDT",1306,1268,635,-671
SCL,"3/16/2025 9 p.m. PDT",1315,1279,647,-668
SCL,"3/16/2025 10 p.m. PDT",1268,1236,648,-620
SCL,"3/16/2025 11 p.m. PDT",1186,1162,463,-723
SCL,"3/17/2025 12 a.m. PDT",1103,1078,238,-865
SCL,"3/17/2025 1 a.m. PDT",1049,1007,230,-819
SCL,"3/17/2025 2 a.m. PDT",1024,975,218,-806
SCL,"3/17/2025 3 a.m. PDT",1012,966,224,-788
SCL,"3/17/2025 4 a.m. PDT",1018,980,187,-831
SCL,"3/17/2025 5 a.m. PDT",1060,1030,221,-839
SCL,"3/17/2025 6 a.m. PDT",1159,1131,524,-635
SCL,"3/17/2025 7 a.m. PDT",1302,1277,524,-778
SCL,"3/17/2025 8 a.m. PDT",1425,1393,625,-800
SCL,"3/17/2025 9 a.m. PDT",1461,1415,624,-837
SCL,"3/17/2025 10 a.m. PDT",1448,1401,594,-854
SCL,"3/17/2025 11 a.m. PDT",1438,1373,567,-871
SCL,"3/17/2025 12 p.m. PDT",1374,1345,210,-1164
SCL,"3/17/2025 1 p.m. PDT",1304,1323,220,-1084
SCL,"3/17/2025 2 p.m. PDT",1269,1305,214,-1055
SCL,"3/17/2025 3 p.m. PDT",1248,1275,207,-1041
SCL,"3/17/2025 4 p.m. PDT",1296,1251,214,-1082
SCL,"3/17/2025 5 p.m. PDT",1351,1257,304,-1047
SCL,"3/17/2025 6 p.m. PDT",1409,1288,450,-959
SCL,"3/17/2025 7 p.m. PDT",1379,1310,653,-726
SCL,"3/17/2025 8 p.m. PDT",1388,1334,664,-724
SCL,"3/17/2025 9 p.m. PDT",1373,1326,605,-768
SCL,"3/17/2025 10 p.m. PDT",1305,1271,539,-766
SCL,"3/17/2025 11 p.m. PDT",1188,1184,437,-751
SCL,"3/18/2025 12 a.m. PDT",1110,1096,221,-889
SCL,"3/18/2025 1 a.m. PDT",1045,1055,286,-759
SCL,"3/18/2025 2 a.m. PDT",1019,1026,284,-735
SCL,"3/18/2025 3 a.m. PDT",1013,1014,231,-782
SCL,"3/18/2025 4 a.m. PDT",1033,1021,233,-800
SCL,"3/18/2025 5 a.m. PDT",1074,1060,243,-831
SCL,"3/18/2025 6 a.m. PDT",1187,1156,564,-623
SCL,"3/18/2025 7 a.m. PDT",1352,1305,717,-635
SCL,"3/18/2025 8 a.m. PDT",1481,1417,823,-658
SCL,"3/18/2025 9 a.m. PDT",1510,1431,716,-794
SCL,"3/18/2025 10 a.m. PDT",1447,1400,517,-930
SCL,"3/18/2025 11 a.m. PDT",1424,1360,542,-882
SCL,"3/18/2025 12 p.m. PDT",1359,1320,391,-968
SCL,"3/18/2025 1 p.m. PDT",1325,1286,226,-1099
SCL,"3/18/2025 2 p.m. PDT",1285,1254,223,-1062
SCL,"3/18/2025 3 p.m. PDT",1250,1225,224,-1026
SCL,"3/18/2025 4 p.m. PDT",1227,1217,223,-1004
